Date,Open,High,Low,Close,Volume,Stock Trading
"2019-07-04","66830","67240","65430","65640","744700","65640"
"2019-07-05","65780","66290","64830","65570","665400","65570"
"2019-07-08","65410","65670","64760","65410","670200","65410"
"2019-07-09","65570","66420","65500","66420","657000","66420"
"2019-07-10","66400","67450","66400","66880","818600","66880"
"2019-07-11","67170","67720","66070","67650","678700","67650"
"2019-07-12","68000","69900","66860","69810","1627900","69810"
"2019-07-16","70000","70230","69440","69470","666300","69470"
"2019-07-17","69620","69670","68300","69030","676400","69030"
"2019-07-18","68760","69390","68470","68680","764500","68680"
"2019-07-19","68810","68890","67120","68440","1053000","68440"
"2019-07-22","68020","68500","67520","68460","650700","68460"
"2019-07-23","68530","69100","68090","68200","598500","68200"
"2019-07-24","68060","68420","67600","67910","541200","67910"
"2019-07-25","67710","68110","67260","67260","485200","67260"
"2019-07-26","67500","67930","67090","67250","403500","67250"
"2019-07-29","67310","67630","66540","66750","473500","66750"
"2019-07-30","67180","67180","66580","66860","430500","66860"
"2019-07-31","66510","66510","65490","65550","777800","65550"
"2019-08-01","65380","65880","64830","65760","598600","65760"
"2019-08-02","64760","65430","64280","65150","877800","65150"
"2019-08-05","65330","65730","64010","64450","859800","64450"
"2019-08-06","63450","63890","62750","63730","842300","63730"
"2019-08-07","63940","64170","63030","63310","508200","63310"
"2019-08-08","63500","64400","63220","64090","499600","64090"
"2019-08-09","64620","64640","63530","63580","729700","63580"
"2019-08-13","62480","63110","62260","62800","581400","62800"
"2019-08-14","63410","63890","62960","63680","601200","63680"
"2019-08-15","63150","63200","62120","62440","816600","62440"
"2019-08-16","62310","62560","61820","62380","553600","62380"
"2019-08-19","62810","63070","62420","62900","393300","62900"
"2019-08-20","63100","63110","62670","62710","388200","62710"
"2019-08-21","62370","63470","62270","63470","389900","63470"
"2019-08-22","64000","64140","63150","63230","437500","63230"
"2019-08-23","63000","63990","62950","63940","439800","63940"
"2019-08-26","62640","62730","61230","61230","1050000","61230"
"2019-08-27","61800","62530","61530","62330","647000","62330"
"2019-08-28","62380","62600","61860","62450","445500","62450"
"2019-08-29","62350","62660","62150","62570","387100","62570"
"2019-08-30","63260","63270","62240","62240","506300","62240"
"2019-09-02","61750","62350","61650","62030","431100","62030"
"2019-09-03","62030","62280","61640","62190","487500","62190"
"2019-09-04","62400","63510","62320","62730","617700","62730"
"2019-09-05","63270","64370","62820","63990","884400","63990"
"2019-09-06","64710","65790","64430","65150","941500","65150"
"2019-09-09","65050","65480","64650","64680","535000","64680"
"2019-09-10","64800","65700","64480","65570","556500","65570"
"2019-09-11","65720","65800","64670","64780","537900","64780"
"2019-09-12","65270","65550","64210","64210","694200","64210"
"2019-09-13","65210","65780","64610","64610","1481000","64610"
"2019-09-17","64700","65040","64250","64840","602900","64840"
"2019-09-18","65200","65840","65020","65260","587700","65260"
"2019-09-19","65720","66440","65200","65220","672300","65220"
"2019-09-20","65300","65740","65110","65740","430600","65740"
"2019-09-24","65860","65920","64670","64980","534500","64980"
"2019-09-25","64580","65020","64140","64230","563000","64230"
"2019-09-26","64190","64220","63380","64070","570000","64070"
"2019-09-27","64000","64370","63490","63860","636700","63860"
"2019-09-30","63950","64430","63760","64210","611400","64210"
"2019-10-01","64210","64210","63490","63500","498200","63500"
"2019-10-02","63400","63930","63290","63760","488800","63760"
"2019-10-03","62810","62900","61280","61280","899800","61280"
"2019-10-04","61340","61680","60410","60900","698200","60900"
"2019-10-07","60980","61230","60400","60450","372500","60450"
"2019-10-08","60700","61440","60520","61160","475700","61160"
"2019-10-09","60620","61310","60540","61080","470400","61080"
"2019-10-10","61030","61930","60910","61650","602000","61650"
"2019-10-11","64100","64100","62860","63270","1143200","63270"
"2019-10-15","63610","65450","63420","65450","864200","65450"
"2019-10-16","66690","68340","66600","68000","1216200","68000"
"2019-10-17","67860","68500","67850","68260","650700","68260"
"2019-10-18","68500","69780","68380","69500","885200","69500"
"2019-10-21","69800","69800","68540","69270","581800","69270"
"2019-10-23","69910","70180","68950","69020","660500","69020"
"2019-10-24","69020","69460","68260","68440","492200","68440"
